2021-04-28 10:47:02,241 - data_util.log - INFO - log启动
2021-04-28 10:48:28,093 - data_util.log - INFO - log启动
2021-04-28 10:48:33,628 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-04-28 10:49:34,395 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-04-28 10:49:37,812 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 7992
2021-04-28 10:51:00,379 - data_util.log - INFO - Bucket queue size: 6, Input queue size: 7976
2021-04-28 10:52:03,410 - data_util.log - INFO - Bucket queue size: 890, Input queue size: 3457
2021-04-28 10:53:07,582 - data_util.log - INFO - Bucket queue size: 893, Input queue size: 4164
2021-04-28 10:54:11,714 - data_util.log - INFO - Bucket queue size: 975, Input queue size: 5215
2021-04-28 10:55:20,706 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 7250
2021-04-28 10:57:16,382 - data_util.log - INFO - log启动
2021-04-28 10:57:20,641 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-04-28 10:58:22,848 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-04-28 10:59:18,643 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 50000
2021-04-28 11:00:20,817 - data_util.log - INFO - Bucket queue size: 2, Input queue size: 49954
2021-04-28 11:01:53,959 - data_util.log - INFO - Bucket queue size: 7, Input queue size: 49849
2021-04-28 11:02:58,751 - data_util.log - INFO - Bucket queue size: 8, Input queue size: 49958
2021-04-28 11:03:58,812 - data_util.log - INFO - Bucket queue size: 14, Input queue size: 50000
2021-04-28 11:05:04,396 - data_util.log - INFO - Bucket queue size: 22, Input queue size: 50000
2021-04-28 11:06:10,228 - data_util.log - INFO - Bucket queue size: 24, Input queue size: 49960
2021-04-28 11:07:10,379 - data_util.log - INFO - Bucket queue size: 31, Input queue size: 50000
2021-04-28 11:08:10,496 - data_util.log - INFO - Bucket queue size: 651, Input queue size: 50000
2021-04-28 11:09:10,563 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:10:10,567 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:11:10,627 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:12:10,688 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:13:10,748 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:14:10,809 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:15:10,869 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:16:10,929 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 50000
2021-04-28 11:18:41,703 - data_util.log - INFO - log启动
2021-04-28 11:18:46,107 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-04-28 11:19:48,222 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-04-28 11:20:05,399 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 15995
2021-04-28 11:21:07,627 - data_util.log - INFO - Bucket queue size: 33, Input queue size: 15699
2021-04-28 11:22:32,126 - data_util.log - INFO - Bucket queue size: 66, Input queue size: 15344
2021-04-28 11:23:38,615 - data_util.log - INFO - Bucket queue size: 94, Input queue size: 15985
2021-04-28 11:26:10,061 - data_util.log - INFO - Bucket queue size: 98, Input queue size: 15969
2021-04-28 11:27:36,485 - data_util.log - INFO - Bucket queue size: 110, Input queue size: 15984
2021-04-28 11:28:36,714 - data_util.log - INFO - Bucket queue size: 172, Input queue size: 15887
2021-04-28 11:29:36,790 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:30:36,850 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:31:36,911 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:32:36,971 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:33:37,032 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:34:37,092 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:35:37,152 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:36:37,213 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:37:37,273 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:38:37,333 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:39:37,394 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:40:37,454 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:41:37,514 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
2021-04-28 11:42:37,575 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 16000
