2021-05-17 11:19:11,401 - data_util.log - INFO - log启动
2021-05-17 11:19:14,015 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-05-17 11:19:36,553 - data_util.log - INFO - log启动
2021-05-17 11:19:39,099 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-05-17 11:20:39,405 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-17 11:20:39,717 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 3996
2021-05-17 11:21:42,466 - data_util.log - INFO - Bucket queue size: 367, Input queue size: 3287
2021-05-17 11:22:42,643 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1989
2021-05-17 11:23:43,684 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:24:43,992 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:25:44,694 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:26:45,535 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:27:46,781 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:28:47,320 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:29:48,130 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:30:48,470 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:31:48,530 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:32:48,591 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:33:48,651 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:34:48,711 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:35:48,772 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:36:48,831 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:37:48,891 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:38:48,951 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:39:48,965 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:40:49,003 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:41:49,063 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:42:49,124 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:43:49,141 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:44:49,202 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:45:49,262 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:46:49,323 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:47:49,383 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:48:49,443 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:49:49,503 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:50:49,563 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:51:49,624 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:52:49,683 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:53:49,717 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:54:49,778 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:55:49,835 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:56:49,895 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:57:49,955 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:58:50,015 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 11:59:50,075 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:00:50,136 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:01:50,196 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:02:50,257 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:03:50,315 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:04:50,375 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:05:50,435 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:06:50,495 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:07:50,547 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:08:50,607 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:09:50,667 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:10:50,727 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:11:50,787 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:12:50,847 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:13:50,908 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:14:50,967 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:15:50,987 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:16:51,047 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:17:51,107 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:18:51,168 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:19:51,228 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:20:51,287 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:21:51,347 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:22:51,407 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:23:51,467 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:24:51,527 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:25:51,587 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:26:51,647 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:27:51,707 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:28:51,767 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:29:51,827 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:30:51,887 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:31:51,947 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:32:52,004 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:33:52,031 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:34:52,091 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:35:52,152 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:36:52,212 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:37:52,235 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:38:52,295 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:39:52,356 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:40:52,416 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:41:52,475 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:42:52,535 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:43:52,595 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:44:52,655 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:45:52,715 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:46:52,775 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:47:52,835 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:48:52,896 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:49:52,956 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:50:53,003 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:51:53,063 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:52:53,123 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:53:53,183 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:54:53,244 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:55:53,304 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 12:56:53,365 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:01:39,381 - data_util.log - INFO - log启动
2021-05-17 13:01:41,947 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 34
2021-05-17 13:02:42,081 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-17 13:02:42,584 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 3996
2021-05-17 13:03:43,548 - data_util.log - INFO - Bucket queue size: 568, Input queue size: 3733
2021-05-17 13:04:44,852 - data_util.log - INFO - Bucket queue size: 854, Input queue size: 3640
2021-05-17 13:05:44,948 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:06:50,330 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:07:53,188 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:08:53,778 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:09:53,995 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:10:54,323 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:11:54,857 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:13:23,583 - data_util.log - INFO - log启动
2021-05-17 13:13:26,125 - data_util.log - INFO - Bucket queue size: 1, Input queue size: 32
2021-05-17 13:14:26,877 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 3145
2021-05-17 13:15:27,394 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:16:28,274 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:17:29,302 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:18:29,919 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:19:30,583 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:20:30,910 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:21:31,471 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:22:31,635 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-17 13:23:32,312 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
